au,BA,CW,DR,FD,HW,YC,Dec,Oth
771,10,35,0,0,55,0,0,0
772,5,35,10,0,50,0,0,0
773,0,35,0,5,60,0,0,0
774,0,19.3462390778857,14.0193586168286,24.5763264547996,37.384956311543,0,4.67311953894288,0
775,0,25,10,30,35,0,0,0
776,0,40,0,10,50,0,0,0
777,0,25,0,5,70,0,0,0
778,0,20,0,0,80,0,0,0
779,0,70,0,5,25,0,0,0
780,0,60,0,15,25,0,0,0
781,0,30,0,0,70,0,0,0
782,0,65,0,5,30,0,0,0
783,0,5,0,30,65,0,0,0
784,0,50,0,15,35,0,0,0
785,0,25,5,15,55,0,0,0
786,0,53,0,8,38,0,1,0
787,0,20,0,10,70,0,0,0
788,0,35,0,5,60,0,0,0
789,0,30,0,3,67,0,0,0
790,0,35,0,30,35,0,0,0
791,0,20,0,20,60,0,0,0
792,0,80,0,0,20,0,0,0
793,0,10,0,50,40,0,0,0
794,0,20,0,20,60,0,0,0
795,0,20,25,25,30,0,0,0
796,0,5,0,10,85,0,0,0
797,0,60,15,0,25,0,0,0
798,0,60,0,0,40,0,0,0
799,0,35,0,0,65,0,0,0
800,0,10,0,40,50,0,0,0
801,0,20,20,15,45,0,0,0
802,0,20,0,35,45,0,0,0
803,0,15,0,20,65,0,0,0
805,0,0,0,30,70,0,0,0
806,0,5,0,50,45,0,0,0
808,0,15,0,5,80,0,0,0
809,0,10,0,10,80,0,0,0
810,0,0,0,90,10,0,0,0
811,0,15,0,30,55,0,0,0
812,0,5,0,15,80,0,0,0
813,0,10,0,40,50,0,0,0
814,0,5,85,0,10,0,0,0
815,0,35,0,15,50,0,0,0
816,0,30,0,55,15,0,0,0
817,0,15,0,45,40,0,0,0
818,0,15,0,25,60,0,0,0
819,0,5,10,60,20,0,5,0
820,0,0,90,5,5,0,0,0
821,0,10,10,35,45,0,0,0
822,0,0,95,0,5,0,0,0
823,0,10,25,30,35,0,0,0
824,0,10,8,60,22,0,0,0
825,0,20,0,35,45,0,0,0
826,0,10,10,35,40,0,5,0
827,0,10,0,60,30,0,0,0
828,0,20,0,10,70,0,0,0
830,0,5,5,65,25,0,0,0
831,0,10,0,15,75,0,0,0
832,0,2,1,52,45,0,0,0
833,0,15,5,55,25,0,0,0
834,0,36.8320885216817,15.1399262319318,3.94402950722725,44.0839557391591,0,0,0
835,0,35,40,0,25,0,0,0
836,0,0,60,5,5,0,30,0
837,0,0,90,0,0,0,10,0
838,0,10,0,25,65,0,0,0
839,0,20,0,45,35,0,0,0
840,0,30,10,50,10,0,0,0
841,0,10,0,50,40,0,0,0
842,0,10,40,20,30,0,0,0
843,0,20,0,70,10,0,0,0
844,0,20,0,30,50,0,0,0
845,0,10,0,60,28,0,2,0
846,0,0,85,0,5,0,10,0
847,0,20,30,50,0,0,0,0
848,0,0,45,0,20,0,35,0
849,0,0,70,10,10,0,10,0
850,0,0,3,85,10,0,2,0
851,0,0,45,0,3,0,52,0
852,0,0,2,90,5,0,3,0
853,0,5,50,15,10,0,20,0
854,0,20,0,60,20,0,0,0
855,0,40,0,0,45,0,15,0
856,0,0,15,85,0,0,0,0
857,0,5,0,85,10,0,0,0
858,0,0,0,95,5,0,0,0
859,0,5,35,40,20,0,0,0
860,0,10,15,30,45,0,0,0
861,0,30,0,0,70,0,0,0
862,0,37,0,3,60,0,0,0
863,0,60,0,10,30,0,0,0
864,0,10,0,5,85,0,0,0
865,0,30,30,0,40,0,0,0
866,0,5,5,5,85,0,0,0
867,0,50,25,0,25,0,0,0
868,0,20,70,0,10,0,0,0
870,0,20,0,45,35,0,0,0
871,0,25,0,65,10,0,0,0
872,0,25,0,55,20,0,0,0
873,0,30,0,5,65,0,0,0
874,0,20,5,35,40,0,0,0
875,0,20,0,15,65,0,0,0
876,0,5,0,5,90,0,0,0
877,0,16,0,0,84,0,0,0
878,0,20,50,0,15,0,15,0
879,0,10,0,20,70,0,0,0
880,0,25,5,20,50,0,0,0
881,0,15,40,15,30,0,0,0
882,0,17,3,10,70,0,0,0
883,0,40,0,20,40,0,0,0
884,0,15,5,70,10,0,0,0
885,0,0,5,45,50,0,0,0
886,0,10,20,20,50,0,0,0
887,0,30,5,3,62,0,0,0
888,0,30,0,5,65,0,0,0
889,0,30,0,5,65,0,0,0
890,0,25,5,0,70,0,0,0
891,0,20,40,0,40,0,0,0
892,0,35,0,15,50,0,0,0
893,0,50,0,0,35,0,15,0
894,0,40,0,10,50,0,0,0
895,0,15,0,5,80,0,0,0
896,0,15,0,2,80,0,3,0
897,0,30,0,5,65,0,0,0
898,0,50,3,0,45,0,2,0
899,0,25,0,0,75,0,0,0
900,0,15,75,0,0,0,10,0
901,0,0,10,70,20,0,0,0
902,0,35.3227152581364,10.2740993193044,21.1936291548818,14.1290861032545,0,19.0804701644225,0
903,0,35,0,20,45,0,0,0
904,0,0,0,90,10,0,0,0
905,0,15,0,50,35,0,0,0
906,0,10,0,5,85,0,0,0
907,0,20,0,10,70,0,0,0
908,0,0,95,5,0,0,0,0
909,0,50,5,20,25,0,0,0
910,0,5,0,80,15,0,0,0
911,0,0,85,0,5,0,10,0
912,0,10,0,25,65,0,0,0
913,0,0,80,0,10,0,10,0
914,0,0,45,40,15,0,0,0
915,0,7.30277989733815,50.7888804106473,21.9083396920144,7.30277989733815,0,12.6972201026618,0
916,0,15,0,40,45,0,0,0
917,0,30,0,65,5,0,0,0
918,0,30,35,0,25,0,10,0
919,0,35,5,30,30,0,0,0
920,0,15,0,45,40,0,0,0
921,0,40,0,30,30,0,0,0
922,0,45,5,0,50,0,0,0
923,0,0,40,15,45,0,0,0
924,0,0,0,90,10,0,0,0
925,0,5,30,35,20,0,10,0
926,0,30,0,5,65,0,0,0
927,0,10,0,15,75,0,0,0
928,0,15,5,0,80,0,0,0
929,0,0,0,75,20,0,5,0
930,0,35,10,0,45,0,10,0
931,0,15,8,20,55,0,2,0
932,0,25,0,15,60,0,0,0
933,0,25,0,5,65,0,5,0
934,0,65,8,0,25,0,2,0
935,0,0,35,30,30,0,5,0
936,0,0,80,0,15,0,5,0
937,0,10,0,35,55,0,0,0
938,0,0,0,100,0,0,0,0
939,0,10,10,0,80,0,0,0
940,0,2,0,90,8,0,0,0
941,0,60,0,0,40,0,0,0
942,0,50,0,5,45,0,0,0
943,0,45,0,15,40,0,0,0
944,0,25,0,0,75,0,0,0
945,0,35,0,5,60,0,0,0
946,0,60,0,10,30,0,0,0
947,0,20,0,20,60,0,0,0
948,0,17,0,3,80,0,0,0
949,0,5,0,10,85,0,0,0
950,0,35,0,15,50,0,0,0
951,0,45,0,5,50,0,0,0
952,0,10,0,20,70,0,0,0
953,0,55,0,10,35,0,0,0
954,0,5,0,15,80,0,0,0
955,0,15,0,20,65,0,0,0
956,0,10,0,10,80,0,0,0
957,0,10,0,5,85,0,0,0
958,0,15,0,25,60,0,0,0
959,0,10,0,15,75,0,0,0
960,0,10,0,10,80,0,0,0
961,0,15,10,5,70,0,0,0
962,0,15,0,35,50,0,0,0
963,0,20,0,3,77,0,0,0
964,0,15,0,0,85,0,0,0
965,0,30,0,15,55,0,0,0
966,0,20,0,0,80,0,0,0
967,0,35,5,5,55,0,0,0
968,0,5,35,15,40,0,5,0
969,0,15,0,15,70,0,0,0
970,0,15,2,20,60,0,3,0
971,0,35,5,0,45,0,15,0
972,0,20,5,10,60,0,5,0
973,0,15,0,5,80,0,0,0
974,0,20,0,5,75,0,0,0
975,0,25,0,5,60,0,10,0
976,0,10,60,0,15,0,15,0
977,0,0,0,20,80,0,0,0
978,0,0,75,5,5,0,15,0
979,0,20,0,5,75,0,0,0
980,0,10,0,40,50,0,0,0
981,0,45,0,20,35,0,0,0
982,0,0,15,5,5,0,75,0
983,0,0,75,0,10,0,15,0
984,0,0,60,10,10,0,20,0
985,0,0,70,10,0,0,20,0
986,0,5,75,5,15,0,0,0
987,0,20,15,0,60,0,5,0
988,0,0,60,5,0,0,35,0
989,0,0,25,75,0,0,0,0
990,0,0,100,0,0,0,0,0
992,0,35,0,0,65,0,0,0
993,0,0,95,0,5,0,0,0
994,0,0,80,0,5,0,15,0
995,0,20,10,60,10,0,0,0
996,0,15,0,30,55,0,0,0
997,0,5,10,65,10,0,10,0
998,0,10,0,40,50,0,0,0
999,0,0,80,0,0,0,20,0
1000,0,3,13,40,35,0,9,0
1001,0,10,0,70,20,0,0,0
1002,0,0,80,5,10,0,5,0
1003,0,15,0,55,30,0,0,0
1004,0,10,0,40,50,0,0,0
1005,0,10,0,30,60,0,0,0
1007,0,40,0,15,45,0,0,0
1008,0,5,0,10,85,0,0,0
1009,0,5,0,50,45,0,0,0
1010,0,0,0,95,5,0,0,0
1011,0,0,0,30,70,0,0,0
1012,0,31,2,20,42,0,5,0
1013,0,20,0,40,40,0,0,0
1014,0,5,0,90,2,0,3,0
1015,0,2,3,80,15,0,0,0
1016,0,10,0,25,65,0,0,0
1017,0,70,0,0,30,0,0,0
1018,0,30,0,0,70,0,0,0
1019,5,25,0,0,70,0,0,0
1020,0,50,0,5,45,0,0,0
1021,0,10,0,50,40,0,0,0
1022,30,0,0,0,70,0,0,0
1023,0,10,5,25,60,0,0,0
1024,0,30,0,0,70,0,0,0
1025,0,35,0,45,20,0,0,0
1026,0,10,0,0,90,0,0,0
1027,15,10,0,5,70,0,0,0
1028,0,10,0,25,65,0,0,0
1029,0,0,0,90,10,0,0,0
1030,0,10,0,50,40,0,0,0
1031,0,30,5,45,20,0,0,0
1032,0,20,0,10,70,0,0,0
1033,0,10,0,20,70,0,0,0
1034,0,5,0,25,70,0,0,0
1035,0,15,0,30,55,0,0,0
1036,0,30,0,30,40,0,0,0
1037,0,40,0,0,60,0,0,0
1038,0,20,0,60,20,0,0,0
1039,0,5,0,5,90,0,0,0
1040,0,20,0,55,25,0,0,0
1041,0,5,5,50,40,0,0,0
1042,10,10,0,5,75,0,0,0
1043,0,4.32853497178684,0,35.0719754231973,60.5994896050158,0,0,0
1044,0,5,0,30,65,0,0,0
1045,0,15,0,5,80,0,0,0
1046,10,40,10,5,35,0,0,0
1047,0,35,0,5,60,0,0,0
1048,0,70,0,0,30,0,0,0
1049,0,10,0,20,70,0,0,0
1050,0,5,0,0,95,0,0,0
1051,0,10,0,0,90,0,0,0
1052,0,0,0,30,70,0,0,0
1053,0,0,0,90,10,0,0,0
1054,0,2,3,85,10,0,0,0
1055,0,55,5,5,35,0,0,0
1056,0,50,0,10,40,0,0,0
1057,0,15,0,15,70,0,0,0
1058,0,5,0,70,25,0,0,0
1059,0,5,0,45,50,0,0,0
1061,0,35,0,40,25,0,0,0
1066,0,5,0,10,85,0,0,0
1068,0,15,5,15,65,0,0,0
1070,0,5,0,5,90,0,0,0
1085,0,15,0,5,80,0,0,0
1097,0,20,0,10,70,0,0,0
1098,0,35,0,0,65,0,0,0
1102,0,20,0,35,45,0,0,0
1106,0,15,0,15,70,0,0,0
1107,0,15.4808814040026,0,9.51911859599737,75,0,0,0
1113,0,20,0,5,75,0,0,0
1119,0,0,85,0,5,0,10,0
1120,0,40,10,15,30,0,5,0
1121,0,15,0,5,80,0,0,0
1122,0,20,0,15,65,0,0,0
2201,0,40,20,40,0,0,0,0
2204,0,30,10,40,20,0,0,0
2111,0,40,0,30,30,0,0,0
"=""thn_""&N7",=O7,=P7,=Q7,=R7,=S7,=T7,=U7,=V7
"=""thn_""&N8",=O8,=P8,=Q8,=R8,=S8,=T8,=U8,=V8
"=""thn_""&N9",=O9,=P9,=Q9,=R9,=S9,=T9,=U9,=V9
"=""thn_""&N10",=O10,=P10,=Q10,=R10,=S10,=T10,=U10,=V10
"=""thn_""&N11",=O11,=P11,=Q11,=R11,=S11,=T11,=U11,=V11
"=""thn_""&N12",=O12,=P12,=Q12,=R12,=S12,=T12,=U12,=V12
"=""thn_""&N13",=O13,=P13,=Q13,=R13,=S13,=T13,=U13,=V13
"=""thn_""&N14",=O14,=P14,=Q14,=R14,=S14,=T14,=U14,=V14
"=""thn_""&N15",=O15,=P15,=Q15,=R15,=S15,=T15,=U15,=V15
"=""thn_""&N16",=O16,=P16,=Q16,=R16,=S16,=T16,=U16,=V16
"=""thn_""&N17",=O17,=P17,=Q17,=R17,=S17,=T17,=U17,=V17
"=""thn_""&N18",=O18,=P18,=Q18,=R18,=S18,=T18,=U18,=V18
"=""thn_""&N19",=O19,=P19,=Q19,=R19,=S19,=T19,=U19,=V19
"=""thn_""&N20",=O20,=P20,=Q20,=R20,=S20,=T20,=U20,=V20
"=""thn_""&N21",=O21,=P21,=Q21,=R21,=S21,=T21,=U21,=V21
"=""thn_""&N22",=O22,=P22,=Q22,=R22,=S22,=T22,=U22,=V22
"=""thn_""&N23",=O23,=P23,=Q23,=R23,=S23,=T23,=U23,=V23
"=""thn_""&N24",=O24,=P24,=Q24,=R24,=S24,=T24,=U24,=V24
"=""thn_""&N25",=O25,=P25,=Q25,=R25,=S25,=T25,=U25,=V25
"=""thn_""&N26",=O26,=P26,=Q26,=R26,=S26,=T26,=U26,=V26
"=""thn_""&N27",=O27,=P27,=Q27,=R27,=S27,=T27,=U27,=V27
"=""thn_""&N28",=O28,=P28,=Q28,=R28,=S28,=T28,=U28,=V28
"=""thn_""&N29",=O29,=P29,=Q29,=R29,=S29,=T29,=U29,=V29
"=""thn_""&N30",=O30,=P30,=Q30,=R30,=S30,=T30,=U30,=V30
"=""thn_""&N31",=O31,=P31,=Q31,=R31,=S31,=T31,=U31,=V31
"=""thn_""&N32",=O32,=P32,=Q32,=R32,=S32,=T32,=U32,=V32
"=""thn_""&N33",=O33,=P33,=Q33,=R33,=S33,=T33,=U33,=V33
"=""thn_""&N34",=O34,=P34,=Q34,=R34,=S34,=T34,=U34,=V34
"=""thn_""&N35",=O35,=P35,=Q35,=R35,=S35,=T35,=U35,=V35
"=""thn_""&N36",=O36,=P36,=Q36,=R36,=S36,=T36,=U36,=V36
"=""thn_""&N37",=O37,=P37,=Q37,=R37,=S37,=T37,=U37,=V37
"=""thn_""&N38",=O38,=P38,=Q38,=R38,=S38,=T38,=U38,=V38
"=""thn_""&N39",=O39,=P39,=Q39,=R39,=S39,=T39,=U39,=V39
"=""thn_""&N40",=O40,=P40,=Q40,=R40,=S40,=T40,=U40,=V40
"=""thn_""&N41",=O41,=P41,=Q41,=R41,=S41,=T41,=U41,=V41
"=""thn_""&N42",=O42,=P42,=Q42,=R42,=S42,=T42,=U42,=V42
"=""thn_""&N43",=O43,=P43,=Q43,=R43,=S43,=T43,=U43,=V43
"=""thn_""&N44",=O44,=P44,=Q44,=R44,=S44,=T44,=U44,=V44
"=""thn_""&N45",=O45,=P45,=Q45,=R45,=S45,=T45,=U45,=V45
"=""thn_""&N46",=O46,=P46,=Q46,=R46,=S46,=T46,=U46,=V46
"=""thn_""&N47",=O47,=P47,=Q47,=R47,=S47,=T47,=U47,=V47
"=""thn_""&N48",=O48,=P48,=Q48,=R48,=S48,=T48,=U48,=V48
"=""thn_""&N49",=O49,=P49,=Q49,=R49,=S49,=T49,=U49,=V49
"=""thn_""&N50",=O50,=P50,=Q50,=R50,=S50,=T50,=U50,=V50
"=""thn_""&N51",=O51,=P51,=Q51,=R51,=S51,=T51,=U51,=V51
"=""thn_""&N52",=O52,=P52,=Q52,=R52,=S52,=T52,=U52,=V52
"=""thn_""&N53",=O53,=P53,=Q53,=R53,=S53,=T53,=U53,=V53
"=""thn_""&N54",=O54,=P54,=Q54,=R54,=S54,=T54,=U54,=V54
"=""thn_""&N55",=O55,=P55,=Q55,=R55,=S55,=T55,=U55,=V55
"=""thn_""&N56",=O56,=P56,=Q56,=R56,=S56,=T56,=U56,=V56
"=""thn_""&N57",=O57,=P57,=Q57,=R57,=S57,=T57,=U57,=V57
"=""thn_""&N58",=O58,=P58,=Q58,=R58,=S58,=T58,=U58,=V58
"=""thn_""&N59",=O59,=P59,=Q59,=R59,=S59,=T59,=U59,=V59
"=""thn_""&N60",=O60,=P60,=Q60,=R60,=S60,=T60,=U60,=V60
"=""thn_""&N61",=O61,=P61,=Q61,=R61,=S61,=T61,=U61,=V61
"=""thn_""&N62",=O62,=P62,=Q62,=R62,=S62,=T62,=U62,=V62
"=""thn_""&N63",=O63,=P63,=Q63,=R63,=S63,=T63,=U63,=V63
"=""thn_""&N64",=O64,=P64,=Q64,=R64,=S64,=T64,=U64,=V64
"=""thn_""&N65",=O65,=P65,=Q65,=R65,=S65,=T65,=U65,=V65
"=""thn_""&N66",=O66,=P66,=Q66,=R66,=S66,=T66,=U66,=V66
"=""thn_""&N67",=O67,=P67,=Q67,=R67,=S67,=T67,=U67,=V67
"=""thn_""&N68",=O68,=P68,=Q68,=R68,=S68,=T68,=U68,=V68
"=""thn_""&N69",=O69,=P69,=Q69,=R69,=S69,=T69,=U69,=V69
"=""thn_""&N70",=O70,=P70,=Q70,=R70,=S70,=T70,=U70,=V70
"=""thn_""&N71",=O71,=P71,=Q71,=R71,=S71,=T71,=U71,=V71
"=""thn_""&N72",=O72,=P72,=Q72,=R72,=S72,=T72,=U72,=V72
"=""thn_""&N73",=O73,=P73,=Q73,=R73,=S73,=T73,=U73,=V73
"=""thn_""&N74",=O74,=P74,=Q74,=R74,=S74,=T74,=U74,=V74
"=""thn_""&N75",=O75,=P75,=Q75,=R75,=S75,=T75,=U75,=V75
"=""thn_""&N76",=O76,=P76,=Q76,=R76,=S76,=T76,=U76,=V76
"=""thn_""&N77",=O77,=P77,=Q77,=R77,=S77,=T77,=U77,=V77
"=""thn_""&N78",=O78,=P78,=Q78,=R78,=S78,=T78,=U78,=V78
"=""thn_""&N79",=O79,=P79,=Q79,=R79,=S79,=T79,=U79,=V79
"=""thn_""&N80",=O80,=P80,=Q80,=R80,=S80,=T80,=U80,=V80
"=""thn_""&N81",=O81,=P81,=Q81,=R81,=S81,=T81,=U81,=V81
"=""thn_""&N82",=O82,=P82,=Q82,=R82,=S82,=T82,=U82,=V82
"=""thn_""&N83",=O83,=P83,=Q83,=R83,=S83,=T83,=U83,=V83
"=""thn_""&N84",=O84,=P84,=Q84,=R84,=S84,=T84,=U84,=V84
"=""thn_""&N85",=O85,=P85,=Q85,=R85,=S85,=T85,=U85,=V85
"=""thn_""&N86",=O86,=P86,=Q86,=R86,=S86,=T86,=U86,=V86
"=""thn_""&N87",=O87,=P87,=Q87,=R87,=S87,=T87,=U87,=V87
"=""thn_""&N88",=O88,=P88,=Q88,=R88,=S88,=T88,=U88,=V88
"=""thn_""&N89",=O89,=P89,=Q89,=R89,=S89,=T89,=U89,=V89
"=""thn_""&N90",=O90,=P90,=Q90,=R90,=S90,=T90,=U90,=V90
"=""thn_""&N91",=O91,=P91,=Q91,=R91,=S91,=T91,=U91,=V91
"=""thn_""&N92",=O92,=P92,=Q92,=R92,=S92,=T92,=U92,=V92
"=""thn_""&N93",=O93,=P93,=Q93,=R93,=S93,=T93,=U93,=V93
"=""thn_""&N94",=O94,=P94,=Q94,=R94,=S94,=T94,=U94,=V94
"=""thn_""&N95",=O95,=P95,=Q95,=R95,=S95,=T95,=U95,=V95
"=""thn_""&N96",=O96,=P96,=Q96,=R96,=S96,=T96,=U96,=V96
"=""thn_""&N97",=O97,=P97,=Q97,=R97,=S97,=T97,=U97,=V97
"=""thn_""&N98",=O98,=P98,=Q98,=R98,=S98,=T98,=U98,=V98
"=""thn_""&N99",=O99,=P99,=Q99,=R99,=S99,=T99,=U99,=V99
"=""thn_""&N100",=O100,=P100,=Q100,=R100,=S100,=T100,=U100,=V100
"=""thn_""&N101",=O101,=P101,=Q101,=R101,=S101,=T101,=U101,=V101
"=""thn_""&N102",=O102,=P102,=Q102,=R102,=S102,=T102,=U102,=V102
"=""thn_""&N103",=O103,=P103,=Q103,=R103,=S103,=T103,=U103,=V103
"=""thn_""&N104",=O104,=P104,=Q104,=R104,=S104,=T104,=U104,=V104
"=""thn_""&N105",=O105,=P105,=Q105,=R105,=S105,=T105,=U105,=V105
"=""thn_""&N106",=O106,=P106,=Q106,=R106,=S106,=T106,=U106,=V106
"=""thn_""&N107",=O107,=P107,=Q107,=R107,=S107,=T107,=U107,=V107
"=""thn_""&N108",=O108,=P108,=Q108,=R108,=S108,=T108,=U108,=V108
"=""thn_""&N109",=O109,=P109,=Q109,=R109,=S109,=T109,=U109,=V109
"=""thn_""&N110",=O110,=P110,=Q110,=R110,=S110,=T110,=U110,=V110
"=""thn_""&N111",=O111,=P111,=Q111,=R111,=S111,=T111,=U111,=V111
"=""thn_""&N112",=O112,=P112,=Q112,=R112,=S112,=T112,=U112,=V112
"=""thn_""&N113",=O113,=P113,=Q113,=R113,=S113,=T113,=U113,=V113
"=""thn_""&N114",=O114,=P114,=Q114,=R114,=S114,=T114,=U114,=V114
"=""thn_""&N115",=O115,=P115,=Q115,=R115,=S115,=T115,=U115,=V115
"=""thn_""&N116",=O116,=P116,=Q116,=R116,=S116,=T116,=U116,=V116
"=""thn_""&N117",=O117,=P117,=Q117,=R117,=S117,=T117,=U117,=V117
"=""thn_""&N118",=O118,=P118,=Q118,=R118,=S118,=T118,=U118,=V118
"=""thn_""&N119",=O119,=P119,=Q119,=R119,=S119,=T119,=U119,=V119
"=""thn_""&N120",=O120,=P120,=Q120,=R120,=S120,=T120,=U120,=V120
"=""thn_""&N121",=O121,=P121,=Q121,=R121,=S121,=T121,=U121,=V121
"=""thn_""&N122",=O122,=P122,=Q122,=R122,=S122,=T122,=U122,=V122
"=""thn_""&N123",=O123,=P123,=Q123,=R123,=S123,=T123,=U123,=V123
"=""thn_""&N124",=O124,=P124,=Q124,=R124,=S124,=T124,=U124,=V124
"=""thn_""&N125",=O125,=P125,=Q125,=R125,=S125,=T125,=U125,=V125
"=""thn_""&N126",=O126,=P126,=Q126,=R126,=S126,=T126,=U126,=V126
"=""thn_""&N127",=O127,=P127,=Q127,=R127,=S127,=T127,=U127,=V127
"=""thn_""&N128",=O128,=P128,=Q128,=R128,=S128,=T128,=U128,=V128
"=""thn_""&N129",=O129,=P129,=Q129,=R129,=S129,=T129,=U129,=V129
"=""thn_""&N130",=O130,=P130,=Q130,=R130,=S130,=T130,=U130,=V130
"=""thn_""&N131",=O131,=P131,=Q131,=R131,=S131,=T131,=U131,=V131
"=""thn_""&N132",=O132,=P132,=Q132,=R132,=S132,=T132,=U132,=V132
"=""thn_""&N133",=O133,=P133,=Q133,=R133,=S133,=T133,=U133,=V133
"=""thn_""&N134",=O134,=P134,=Q134,=R134,=S134,=T134,=U134,=V134
"=""thn_""&N135",=O135,=P135,=Q135,=R135,=S135,=T135,=U135,=V135
"=""thn_""&N136",=O136,=P136,=Q136,=R136,=S136,=T136,=U136,=V136
"=""thn_""&N137",=O137,=P137,=Q137,=R137,=S137,=T137,=U137,=V137
"=""thn_""&N138",=O138,=P138,=Q138,=R138,=S138,=T138,=U138,=V138
"=""thn_""&N139",=O139,=P139,=Q139,=R139,=S139,=T139,=U139,=V139
"=""thn_""&N140",=O140,=P140,=Q140,=R140,=S140,=T140,=U140,=V140
"=""thn_""&N141",=O141,=P141,=Q141,=R141,=S141,=T141,=U141,=V141
"=""thn_""&N142",=O142,=P142,=Q142,=R142,=S142,=T142,=U142,=V142
"=""thn_""&N143",=O143,=P143,=Q143,=R143,=S143,=T143,=U143,=V143
"=""thn_""&N144",=O144,=P144,=Q144,=R144,=S144,=T144,=U144,=V144
"=""thn_""&N145",=O145,=P145,=Q145,=R145,=S145,=T145,=U145,=V145
"=""thn_""&N146",=O146,=P146,=Q146,=R146,=S146,=T146,=U146,=V146
"=""thn_""&N147",=O147,=P147,=Q147,=R147,=S147,=T147,=U147,=V147
"=""thn_""&N148",=O148,=P148,=Q148,=R148,=S148,=T148,=U148,=V148
"=""thn_""&N149",=O149,=P149,=Q149,=R149,=S149,=T149,=U149,=V149
"=""thn_""&N150",=O150,=P150,=Q150,=R150,=S150,=T150,=U150,=V150
"=""thn_""&N151",=O151,=P151,=Q151,=R151,=S151,=T151,=U151,=V151
"=""thn_""&N152",=O152,=P152,=Q152,=R152,=S152,=T152,=U152,=V152
"=""thn_""&N153",=O153,=P153,=Q153,=R153,=S153,=T153,=U153,=V153
"=""thn_""&N154",=O154,=P154,=Q154,=R154,=S154,=T154,=U154,=V154
"=""thn_""&N155",=O155,=P155,=Q155,=R155,=S155,=T155,=U155,=V155
"=""thn_""&N156",=O156,=P156,=Q156,=R156,=S156,=T156,=U156,=V156
"=""thn_""&N157",=O157,=P157,=Q157,=R157,=S157,=T157,=U157,=V157
"=""thn_""&N158",=O158,=P158,=Q158,=R158,=S158,=T158,=U158,=V158
"=""thn_""&N159",=O159,=P159,=Q159,=R159,=S159,=T159,=U159,=V159
"=""thn_""&N160",=O160,=P160,=Q160,=R160,=S160,=T160,=U160,=V160
"=""thn_""&N161",=O161,=P161,=Q161,=R161,=S161,=T161,=U161,=V161
"=""thn_""&N162",=O162,=P162,=Q162,=R162,=S162,=T162,=U162,=V162
"=""thn_""&N163",=O163,=P163,=Q163,=R163,=S163,=T163,=U163,=V163
"=""thn_""&N164",=O164,=P164,=Q164,=R164,=S164,=T164,=U164,=V164
"=""thn_""&N165",=O165,=P165,=Q165,=R165,=S165,=T165,=U165,=V165
"=""thn_""&N166",=O166,=P166,=Q166,=R166,=S166,=T166,=U166,=V166
"=""thn_""&N167",=O167,=P167,=Q167,=R167,=S167,=T167,=U167,=V167
"=""thn_""&N168",=O168,=P168,=Q168,=R168,=S168,=T168,=U168,=V168
"=""thn_""&N169",=O169,=P169,=Q169,=R169,=S169,=T169,=U169,=V169
"=""thn_""&N170",=O170,=P170,=Q170,=R170,=S170,=T170,=U170,=V170
"=""thn_""&N171",=O171,=P171,=Q171,=R171,=S171,=T171,=U171,=V171
"=""thn_""&N172",=O172,=P172,=Q172,=R172,=S172,=T172,=U172,=V172
"=""thn_""&N173",=O173,=P173,=Q173,=R173,=S173,=T173,=U173,=V173
"=""thn_""&N174",=O174,=P174,=Q174,=R174,=S174,=T174,=U174,=V174
"=""thn_""&N175",=O175,=P175,=Q175,=R175,=S175,=T175,=U175,=V175
"=""thn_""&N176",=O176,=P176,=Q176,=R176,=S176,=T176,=U176,=V176
"=""thn_""&N177",=O177,=P177,=Q177,=R177,=S177,=T177,=U177,=V177
"=""thn_""&N178",=O178,=P178,=Q178,=R178,=S178,=T178,=U178,=V178
"=""thn_""&N179",=O179,=P179,=Q179,=R179,=S179,=T179,=U179,=V179
"=""thn_""&N180",=O180,=P180,=Q180,=R180,=S180,=T180,=U180,=V180
"=""thn_""&N181",=O181,=P181,=Q181,=R181,=S181,=T181,=U181,=V181
"=""thn_""&N182",=O182,=P182,=Q182,=R182,=S182,=T182,=U182,=V182
"=""thn_""&N183",=O183,=P183,=Q183,=R183,=S183,=T183,=U183,=V183
"=""thn_""&N184",=O184,=P184,=Q184,=R184,=S184,=T184,=U184,=V184
"=""thn_""&N185",=O185,=P185,=Q185,=R185,=S185,=T185,=U185,=V185
"=""thn_""&N186",=O186,=P186,=Q186,=R186,=S186,=T186,=U186,=V186
"=""thn_""&N187",=O187,=P187,=Q187,=R187,=S187,=T187,=U187,=V187
"=""thn_""&N188",=O188,=P188,=Q188,=R188,=S188,=T188,=U188,=V188
"=""thn_""&N189",=O189,=P189,=Q189,=R189,=S189,=T189,=U189,=V189
"=""thn_""&N190",=O190,=P190,=Q190,=R190,=S190,=T190,=U190,=V190
"=""thn_""&N191",=O191,=P191,=Q191,=R191,=S191,=T191,=U191,=V191
"=""thn_""&N192",=O192,=P192,=Q192,=R192,=S192,=T192,=U192,=V192
"=""thn_""&N193",=O193,=P193,=Q193,=R193,=S193,=T193,=U193,=V193
"=""thn_""&N194",=O194,=P194,=Q194,=R194,=S194,=T194,=U194,=V194
"=""thn_""&N195",=O195,=P195,=Q195,=R195,=S195,=T195,=U195,=V195
